
重庆本地,#genre#
天津卫视,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240136_1/playlist.m3u8?CONTENTID=00000110240136_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
浙江卫视,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240134_1/playlist.m3u8?CONTENTID=00000110240134_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
重庆卫视,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240397_1/playlist.m3u8?CONTENTID=00000110240397_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR

央视频道,#genre#
新华社CNC,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8?zshijd
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV2,http://39.184.224.99:9080/newlive/live/hls/2/live.m3u8
CCTV3,http://39.184.224.99:9080/newlive/live/hls/3/live.m3u8
CCTV4,http://39.184.224.99:9080/newlive/live/hls/4/live.m3u8
CCTV5,http://39.184.224.99:9080/newlive/live/hls/5/live.m3u8
CCTV6,http://39.184.224.99:9080/newlive/live/hls/6/live.m3u8
CCTV7,http://39.184.224.99:9080/newlive/live/hls/7/live.m3u8
CCTV8,http://39.184.224.99:9080/newlive/live/hls/8/live.m3u8
CCTV9,http://39.184.224.99:9080/newlive/live/hls/9/live.m3u8
CCTV10,http://39.184.224.99:9080/newlive/live/hls/10/live.m3u8
CCTV11,http://39.184.224.99:9080/newlive/live/hls/11/live.m3u8
CCTV12,http://39.184.224.99:9080/newlive/live/hls/12/live.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV13,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV14,http://39.184.224.99:9080/newlive/live/hls/14/live.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16,http://117.169.124.149:8080/live/HD-8000k-1080P-cctv16/1.m3u8
CCTV16,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
CCTV17,http://39.184.224.99:9080/newlive/live/hls/17/live.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV1,http://218.29.55.44:808/hls/1/index.m3u8
CCTV2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV3,http://218.29.55.44:808/hls/3/index.m3u8
CCTV4,http://218.29.55.44:808/hls/4/index.m3u8
CCTV5,http://218.29.55.44:808/hls/5/index.m3u8
CCTV6,http://218.29.55.44:808/hls/6/index.m3u8
CCTV7,http://218.29.55.44:808/hls/7/index.m3u8
CCTV8,http://218.29.55.44:808/hls/8/index.m3u8
CCTV9,http://218.29.55.44:808/hls/9/index.m3u8
CCTV10,http://218.29.55.44:808/hls/10/index.m3u8
CCTV11,http://218.29.55.44:808/hls/11/index.m3u8
CCTV12,http://218.29.55.44:808/hls/12/index.m3u8
CCTV13,http://218.29.55.44:808/hls/13/index.m3u8
CCTV14,http://218.29.55.44:808/hls/14/index.m3u8
CCTV15,http://218.29.55.44:808/hls/24/index.m3u8
CCTV1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV7,http://39.134.115.163:8080/TVOD/88888910/224/3221225644/index.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV10,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV11,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV12,http://39.134.115.163:8080/TVOD/88888910/224/3221225628/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV14,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV15,http://1.195.111.251:11190/tsfile/live/0015_1.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV16,http://39.135.138.58:18890/TVOD/88888910/224/3221226230/index.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV17,http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CCTV风云足球,http://218.17.216.102:9901/tsfile/live/1065_1.m3u8
CCTV怀旧剧场,http://218.17.216.102:9901/tsfile/live/1069_1.m3u8
CCTV风云剧场,http://218.17.216.102:9901/tsfile/live/1070_1.m3u8
CCTV央视台球,http://218.17.216.102:9901/tsfile/live/1066_1.m3u8
CCTV央视文化,http://218.17.216.102:9901/tsfile/live/1071_1.m3u8
CCTV兵器科技,http://218.17.216.102:9901/tsfile/live/1027_1.m3u8
CCTV第一剧场,http://218.17.216.102:9901/tsfile/live/1072_1.m3u8
CCTV风云音乐,http://218.17.216.102:9901/tsfile/live/1073_1.m3u8
CCTV世界地理,http://218.17.216.102:9901/tsfile/live/1068_1.m3u8
CETV1,http://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV1,http://183.207.255.188/live/program/live/zgjy1ott/1300000/mnf.m3u8
CETV2,http://txycsbl.centv.cn/zb/0822cetv2.m3u8
CETV3,http://txycsbl.centv.cn/zb/0822cetv3.m3u8
CETV4,http://txycsbl.centv.cn/zb/0822cetv4.m3u8

卫视频道,#genre#
湖南卫视,http://39.184.224.99:9080/newlive/live/hls/18/live.m3u8
东方卫视,http://39.184.224.99:9080/newlive/live/hls/19/live.m3u8
江苏卫视,http://39.184.224.99:9080/newlive/live/hls/20/live.m3u8
北京卫视,http://39.184.224.99:9080/newlive/live/hls/21/live.m3u8
深圳卫视,http://39.184.224.99:9080/newlive/live/hls/22/live.m3u8
广东卫视,http://39.184.224.99:9080/newlive/live/hls/23/live.m3u8
天津卫视,http://39.184.224.99:9080/newlive/live/hls/24/live.m3u8
山东卫视,http://39.184.224.99:9080/newlive/live/hls/25/live.m3u8
湖北卫视,http://39.184.224.99:9080/newlive/live/hls/26/live.m3u8
黑龙江卫视,http://39.184.224.99:9080/newlive/live/hls/27/live.m3u8
重庆卫视,http://39.184.224.99:9080/newlive/live/hls/28/live.m3u8
